text,label
"الأكل جان كلش طيب وتسلم الأيادي",positive
"الخدمة سيئة والتوصيل متأخر هواي",negative
"رحت للمكتبة واشتريت كتاب ورجعت",neutral
"التطبيق يخبل وعاشت ايدكم",positive
"البضاعة وصلت مكسورة وتالفة",negative
"الاجتماع يبدي الساعة عشرة الصبح",neutral
"الأسعار كلش مناسبة وممتازة",positive
"الصوت يقطع وما دا اسمع شي",negative
"التعامل جان قمة بالروعة والأخلاق",positive
"المنتج مو نفس الصورة وما يسوى السعر",negative
"رحت للمكان واستلمت الأوراق ورجعت",neutral
"ربي يوفقكم على هذا الإنجاز الطيب",positive
"الموقع يعلق وما يفتح من الموبايل",negative
"الدوام يبدي الساعة ثمانية الصبح",neutral
"المطعم أكلهم نظيف وطيب هواية",positive
"التوصيل أخذ أكثر من أسبوعين تأخير",negative
"عاشت الأيادي تصميم راقي ومبدع",positive
"الخدمة كلش رديئة وما انصح احد بيه",negative
"وصلت الحافلة للموقف المخصص",neutral
"شغلك يرفع الراس وما بيه اي قصور",positive
"الكاميرا دقتها مو زينة والصورة مغبشة",negative
"فتحت الحاسبة وبديت اشتغل",neutral
"فرحتنا كبيرة بهذا النجاح الباهر",positive
"الموظف كان يصيح وما عنده طول بال",negative
"سجلت اسمي بالقائمة المرفقة",neutral
"المكان ينطي طاقة ايجابية ومريح",positive
"البرنامج بيه مشاكل كثرت وما يفتح",negative
"نزلت الشتاء وبدت تتساقط الامطار",neutral
"ممنون منكم ومن حسن استقبالكم",positive
"الاسعار مرتفعة بشكل غير منطقي",negative
"قريت المقال المكتوب بالجريدة",neutral
"طريقة الشرح كانت مبسطة وواضحة",positive
"التأخير بالرد يسبب تعطيل كبير",negative
"حجزت موعد طبيب للاسبوع القادم",neutral
"الله ينطيكم الصحة والعافية",positive
"البضاعة غير مطابقة للمواصفات",negative
"شربت القهوة وفتحت الايميل",neutral
"فخورين جدا بهذا الانجاز العراقي",positive
"السيارة تصرف بنزين هواية",negative
"انتهت المحاضرة ورجعنا للبيت",neutral
