text,label
"العزيمة اليوم كانت تخبل وتسلم الأيادي",positive
"الخدمة وايد بطيئة والتعامل مو حلو",negative
"رحت للمحل واشتريت الأغراض ورجعت",neutral
"ربي يحفظكم وما تقصرون وياية",positive
"التطبيق كثرت بيه المشاكل وما يفتح",negative
"المكان عادي وما بيه شيء جديد",neutral
"عاش الذوق والمُعاملة الراقية",positive
"الأسعار جداً غالية ومبالغ بيها",negative
"القطار يتحرك الساعة خمسة الفجر",neutral
"الكلية اليوم كانت كلش حلوة وونسة",positive
"الشارع مزدحم والموجة كلش حارة",negative
"وصلت للبيت وفتحت التلفزيون",neutral
"الله ينطيكم الصحة والعافية على هذا الإنجاز",positive
"المنتج طلع مو نفس الصور بالمرة",negative
"الدكتور ألقى المحاضرة وانتهى الوقت",neutral
"فرحت هواية من سمعت الخبر الطيب",positive
"الشغل متعب وماكو أي تقدير للجهد",negative
"اشتريت كتاب جديد وقريت أول الفصل",neutral
"المطعم أكله كلش طيب ونظيف",positive
"الكهرباء مقطوعة من الصبح لحد هسة",negative
"الطريق المودي للمنطقة صار سالك",neutral
"أحسن خدمة عملاء تعاملت وياهم",positive
"السيارة انطلقت بالدرب وصار بيها عطل",negative
"نزلت الشتاء وبدت تتساقط الأمطار",neutral
"الفكرة تخبل وعاش قلمك على هالطرح",positive
"الموظف كان سلبي وما ساعدنا بشيء",negative
"شربت القهوة الصبح وكعدت أشتغل",neutral
"ممتن جداً لمساعدتكم وسرعة الرد",positive
"البضاعة وصلت متأخرة وتالفة",negative
"المعرض يفتح أبوابه من الثمانية",neutral
"الأجواء العائلية اليوم جانت دافية وحلوة",positive
"الإنترنت كلش ضعيف وما يفتح مقاطع",negative
"حجزنا تذاكر السفر للأسبوع القادم",neutral
"تسلم إيدك على هذا المجهود الرائع",positive
"كلما أحاول أسجل دخول يطلع خطأ",negative
"الاجتماع يبدأ بعد نص ساعة بالضبط",neutral
"الخبر هذا فرح قلوبنا كلنا",positive
"الصوت مو واضح وبي شوشرة قوية",negative
"غسلت السيارة وخليتها بالكراج",neutral
"الورد اللي بالمحل شكلا كلش ينعش",positive
"المحل قفل ومحد استقبلنا",negative
"جمعت الأوراق ورتبتها بالفايل",neutral
"كل الشكر والتقدير لكادر العمل الفذ",positive
"المعاملة تأخرت أشهر بدون أي سبب",negative
"شفت الفلم بالسينما وي البارحة",neutral
"يا أخي أنت إنسان كلش راقي",positive
"الطلبية ناقصة غرضين ومحد يرجع",negative
"الباص وصل للموقف المحspecified",neutral
"الرحلة كانت ممتعة ومريحة بشكل مو طبيعي",positive
"الأكل جان بارد والمكان مو نظيف",negative
"فتحت الباب ودخلت للغرفة",neutral
"ما شاء الله شغلك يرفع الراس",positive
"البرنامج بيه تهنيج وتوقف مفاجئ",negative
"غيرت رمز السري للحساب مالتي",neutral
"المبادرة كلش طيبة وتخدم المجتمع",positive
"الشركة ما تلتزم بالمواعيد المحددة",negative
"شفت صاحبي بالمول وسولفنا شوية",neutral
"التصميم إبداعي ولطيف جداً",positive
"الدعم الفني ما يجاوب على الرسائل",negative
"سجلت اسمي بالقائمة المرفقة",neutral
"الله يسعدكم مثل ما أسعدتونا",positive
"الضوضاء بالمكان تسبب وجع رأس",negative
"أخذت الاستراحة ورحت للمقهى",neutral
"المكان يفتح النفس والديكور يجنن",positive
"المستشفى مزدحمة والمواعيد متأخرة",negative
"بدلت العجلات مال السيارة اليوم",neutral
"طريقة العرض كانت مبسطة ومفهومة",positive
"القطع المباعة ما بيها أي ضمان",negative
"كتبت الملاحظات على الورقة",neutral
"الأجواء بغداد اليوم تخبل ورائعة",positive
"الطريق مقفول بسبب الحفريات",negative
"الولد راح للمدرسة الصبح",neutral
"النتيجة كانت ممتازة وفوق التوقع",positive
"الخدمة السيئة تمنعني أرجع للمحل",negative
"شفت التقرير وأرسلته بالإيميل",neutral
"يسلم رأسك وما قصرت وياي أبداً",positive
"التحديث الجديد خرب كل الميزات",negative
"انتهت المقابلة ورجعت للبيت",neutral
"أفضل تجربة تسوق قمت بيها هالسنة",positive
"السعر غير مطابق للمكتوب على الرف",negative
"قريت المقال المكتوب بالجريدة",neutral
"التعامل سريع والمنتج أصلي 100%",positive
"الرحلة تلغيها بدون إبلاغ مسبق",negative
"سويت نسخ احتياطي للملفات",neutral
"فخور جداً بالشباب العراقي والإنجاز",positive
"الموظف كان يصيح وما عنده طول بال",negative
"البست المحفظة وحطيتها بالحقيبة",neutral
"اللقاء كان كلش مثمر ومفيد",positive
"المادة كلش صعبة والأسئلة تعجيزية",negative
"شربت ماي ورجعت كملت المشي",neutral
"التقديم كان ممتاز والشرح واضح",positive
"جودة القماش كلش رديئة وتتقطع",negative
"الرسالة وصلت للبريد الوارد",neutral
"يعطيك ألف عافية على المساعدة",positive
"التوصيل أخذ أكثر من أسبوعين",negative
"الأستاذ وزع الأوراق على الطلاب",neutral
"الاستقبال كان دافئ جداً وودي",positive
"الفندق ما بيه أي خدمات محترمة",negative
"بدت النشرة الإخبارية على التلفزيون",neutral
"عاش المجهود وبانتظار المزيد من الإبداع",positive
"التصميم كان روعة وما بيه أي غلطة",positive
"الموقع يقطع ومو مريح بالاستخدام",negative
"استلمت الطرد وسجلت التوقيع",neutral
"ربي ينور دربك ويفتحها بوجهك",positive
"السائق كان كلش سريع وسياقته تخوف",negative
"الساعة هسة بالعشرة بالليل",neutral
"كلش استمتعت بالمقابلة والمعلومات القيمة",positive
"الشاشة انكسرت من أول وقعة بسيطة",negative
"وصلت الرسالة للبريد المباشر",neutral
"المكان مريح ونظيف وينطي طاقة إيجابية",positive
"الأسعار ارتفعت بشكل مو طبيعي",negative
"شفت الخبر بالفيس بوك البارحة",neutral
"خدمة ممتازة والسرعة بالاستجابة فورية",positive
"المادة الجانبية جانت مغشوشة وتالفة",negative
"شربت الشاي بعد الغداء",neutral
"عاشت الأيادي على المجهود الأسطوري",positive
"التحديث الأخير مسح كل بياناتي",negative
"نزلت من الباص بالموقف الأخير",neutral
"الشباب جانوا كلش تعاونين وياية",positive
"المعاملة تفرفرت بين الأقسام بدون نتيجة",negative
"فتحت الحاسبة وبديت أدرس",neutral
"الأكل جان كلش طيب والطعم رهيب",positive
"التطبيقات الواقفة سببت بطء للجهاز",negative
"سويت إعادة تشغيل للموبايل",neutral
"ما شاء الله تبارك الرحمن إبداع",positive
"الخطوط المزدحمة ضيعت علينا الوقت",negative
"أخذت الدواء بعد الأكل",neutral
"الفكرة جبارة وتخدم شريحة كبيرة",positive
"المحل ما بيه أي بضاعة جديدة",negative
"رحت للجامعة الساعة ثمانية الصبح",neutral
"الله يقويكم ويوفقكم بكل خطواتكم",positive
"التوصيل جان كلش متأخر عن الموعد",negative
"سجلت حضور بالورشة التدريبية",neutral
"التعامل جان في قمة الإنسانية والأخلاق",positive
"المكان ضيق وما بيه أي تهوية",negative
"قريت الصفحات الأولى من الكتاب",neutral
"أفضل منصة جربتها لحد هسة",positive
"السيارة صار بيها عطل بالشارع العام",negative
"شريت كارت شحن وشحنت الخط",neutral
"ممنون منكم ومن حسن استقبالكم",positive
"الدعم الفني ما يسوي أي حل للمشكلة",negative
"غسلت الملابس وخليتها تنشف",neutral
"الشرح كان بسيط ومفهوم للجميع",positive
"المنتج طلع أضر منه نفع",negative
"وقعت العقد ويا الشركة اليوم",neutral
"فرحتنا ما تنوصف بهذا النجاح",positive
"الغرفة جانت مو نظيفة والأثاث قديم",negative
"رجعت القلم لمكانه على المكتب",neutral
"إنجاز رائع ويستحق كل الثناء",positive
"الشركة ما تطبق الشروط المكتوبة",negative
"بدل الأستاذ موعد المحاضرة",neutral
"كادر متميز وأسلوب راقي بالتعامل",positive
"الكاميرا دقت مو قوية والصورة مغبشة",negative
"سويت كاس قهوة وقعدت أقرأ",neutral
"مبادرة ترفع الرأس وعاش المجهود",positive
"أخذوا فلوس أكثر من المتفق عليه",negative
"وصل الباص المخصص للنقل",neutral
"التطوير المستمر بالمشروع كلش واضح",positive
"السرعة مال الإنترنت تنزل وتصعد",negative
"طلبت الأغراض من السوبرماركت",neutral
"ربي يوفقكم ويفتحها بوجهكم أمين",positive
"التطبيق يطلع من حاله باستمرار",negative
"شفت التلفزيون وسولفنا شوية",neutral
"أحسن مطعم يقدم أكل عراقي أصيل",positive
"الموظف ما جان متفهم للوضع",negative
"بدلت البطارية ببطارية جديدة",neutral
"شغلك ينقط عسل وتصميم يخبل",positive
"التأخير بالرد يسبب تعطيل للشغل",negative
"قعدت الصبح من وقت اليوم",neutral
"الكلية نظمت احتفالية كلش حلوة",positive
"القطع وصلتنا بيها كسر واضح",negative
"حولت المبلغ عن طريق الماستر",neutral
"الاستقبال كان بمستوى عالي جداً",positive
"الطريق متروس حفريات ومحفر",negative
"الدرس انتهى وقفلنا القاعة",neutral
"كل التوفيق والنجاح المستمر يا رب",positive
"الصوت بي شوشرة وما ينسمع عدل",negative
"فتحت الإيميل وشفت الإشعار",neutral
"أخلاق راقية وتجاوب سريع جداً",positive
"الأسعار بالسوق كلش مرتفعة",negative
"طلعت للحديقة وقعدت بالهواء",neutral
"الرحلة كانت سهلة وما بيها أي تعب",positive
"الكادر ما عنده أي خبرة بالتخصص",negative
"جمعت الفواتير وحطيتها بالملف",neutral
"تسلم الأيادي على العمل الإبداعي",positive
