text,category
"صباح الخير، شلونكم اليوم؟",daily_life
"اليوم الجو كلش حار ويفطس",daily_life
"رحت لبيت جدي وتغدينا هناك",daily_life
"سويت جاي مهيل وقعدت بالحديقة",daily_life
"وين طالعين هسة بهالازدحام؟",daily_life
"الأطفال دييلعبون بالشارع من الصبح",daily_life
"تعالوا يمنا اليوم نسهر سوية",daily_life
"شنو رأيك نطلع نتعشى برة؟",daily_life
"الدنيا تمطر والشارع صار كله طين",daily_life
"فتحت الشباك حتى تتهوى الغرفة",daily_life
"الكهرباء طفت والوطنية بعدها ما جاية",daily_life
"سديت الباب وطلعت للشغل",daily_life
"شربت مي بارد لأن عطشت هواية",daily_life
"غسلت المواعين ونظفت المطبخ",daily_life
"البارحة نمت من وقت لأن چنت تعبان",daily_life
"اليوم الجمعة والكل متجمعين",daily_life
"شفت جيرانا وسلمت عليه",daily_life
"حضرت ملابسي لباجر",daily_life
"أكلت لفة فلافل عالسريع",daily_life
"صيحت على أخويا حتى يجي ياكل",daily_life
"شغلت المبردة لأن الجو صار حار",daily_life
"عزلنا البيت ورتبنا الهول",daily_life
"كعدت من النوم متأخر اليوم",daily_life
"طلعت أتمشى شوية بالمنطقة",daily_life
"رحت للحلاق وزينت شعري",daily_life
"الخطار إجونا فجأة بدون موعد",daily_life
"سويت كيكة العصر وأكلناها وية الجاي",daily_life
"شغلت التلفزيون أباوع أخبار",daily_life
"لعبت طوبة وية الولد بالساحة",daily_life
"خابرت أمي أسأل عليها",daily_life
"طفت المولدة ورحنا نشغلها",daily_life
"نظفت سيارتي لأن جانت كلش وصخة",daily_life
"اليوم سوينا دولمة وتخبل طلعت",daily_life
"خليت التلفون عالشحن ونمت",daily_life
"سمعت صوت قوي برة وطلعت أشوف شكو",daily_life
"العشا اليوم جان خفيف ومريح",daily_life
"شربت كهوة حتى أصحصح",daily_life
"اليوم عطلة وماكو دوام",daily_life
"أخويا الصغير ديقرأ للامتحان",daily_life
"الجو صار بارد بالليل",daily_life
"أخذت الجهال للزوراء يلعبون",daily_life
